fnsPersonal,fnsTrading,hasAdditionalDetails,riskWarning,experienceLevel,hasDeposit,accountType,poiStatus,porStatus,hasPendingDeposit,username,showWizard,showWelcomeBack,showDeposit,showRiskWarning,showPoiPor,showStartWizard,showAdditionalDetails,showFnsPersonal,showFnsTrading,customerCompliant,poiOcrStatus,poiStatusValue,porOcrStatus,porStatusValue
true,true,true,true,NO_EXPERIENCE,false,REAL,NOT_VERIFIED,NOT_VERIFIED,false,tc1@a.com,true,true,true,false,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,EMPTY,VERIFIED,true,tc10@a.com,false,false,false,true,true,false,false,false,false,false,VERIFIED,UPLOADED,VERIFIED,VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,NOT_VERIFIED,VERIFIED,true,TC100@a.com,true,false,false,false,false,false,false,false,false,false,EMPTY,NOT_VERIFIED,VERIFIED,VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,true,TC105@a.com,true,false,false,true,true,false,false,false,false,false,VERIFIED,UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,EMPTY,VERIFIED,true,TC106@a.com,true,false,false,true,false,false,false,false,false,false,VERIFIED,UPLOADED,VERIFIED,VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,true,TC109@a.com,true,false,true,true,true,false,false,false,false,false,EMPTY,NOT_UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,EMPTY,VERIFIED,true,TC110@a.com,true,false,false,true,true,false,false,false,false,false,EMPTY,NOT_UPLOADED,VERIFIED,VERIFIED
true,true,true,true,NO_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,true,tc13@a.com,true,false,true,false,true,false,false,false,false,false,EMPTY,NOT_UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,LOW_EXPERIENCE,false,REAL,NOT_VERIFIED,EMPTY,false,TC134@a.com,true,false,true,false,true,false,false,false,false,false,VERIFIED,NOT_VERIFIED,EMPTY,NOT_UPLOADED
true,true,true,true,NO_EXPERIENCE,false,REAL,EMPTY,VERIFIED,true,tc14@a.com,true,false,false,false,true,false,false,false,false,false,NOT_VERIFIED,NOT_UPLOADED,VERIFIED,VERIFIED
