fnsPersonal,fnsTrading,hasAdditionalDetails,riskWarning,experienceLevel,hasDeposit,accountType,poiStatus,porStatus,hasPendingDeposit,username,showWizard,showWelcome,showDeposit,showRiskWarning,showPoiPor,showStartWizard,showAdditionalDetails,showFnsPersonal,showFnsTrading,customerCompliant,poiOcrStatus,poiStatusValue,porStatusValue,testId,showWelcomeBack
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,tc10@a.com,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED,25-5704:TC #10,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,TC105@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5709:TC #105,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,TC106@a.com,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED,25-5710:TC #106,TRUE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,EMPTY,FALSE,TC134@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VERIFIED,NOT_VERIFIED,NOT_UPLOADED,25-5717:TC #134,TRUE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,tc14@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,VERIFIED,25-5706:TC #14,TRUE
FALSE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc178@a.com,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,NOT_UPLOADED,25-5692:TC #178,FALSE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,TRUE,REAL,EMPTY,VERIFIED,FALSE,tc193@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED,25-5725:TC #193,FALSE
TRUE,TRUE,TRUE,FALSE,EXPERT,TRUE,REAL,EMPTY,NOT_VERIFIED,FALSE,tc208@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5726:TC #208,FALSE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc231@a.com,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_UPLOADED,25-5727:TC #231,TRUE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,FALSE,tc37@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5715:TC #37,FALSE
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc61@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5719:TC #61,FALSE
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,FALSE,TC63@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,NOT_VERIFIED,25-5720:TC #63,FALSE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc9@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5703:TC #9,FALSE
