fnsPersonal,fnsTrading,hasAdditionalDetails,riskWarning,experienceLevel,hasDeposit,accountType,poiStatus,porStatus,hasPendingDeposit,username,showWizard,showWelcome,showDeposit,showRiskWarning,showPoiPor,showStartWizard,showAdditionalDetails,showFnsPersonal,showFnsTrading,customerCompliant,poiOcrStatus,poiStatusValue,porStatusValue,testId,showWelcomeBack
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,NOT_VERIFIED,FALSE,tc1@a.com,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_VERIFIED,25-5700:TC #1,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,tc10@a.com,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED,25-5704:TC #10,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,VERIFIED,TRUE,TC100@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED,25-5708:TC #100,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,TC105@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5709:TC #105,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,TC106@a.com,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED,25-5710:TC #106,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,TC109@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_VERIFIED,25-5711:TC #109,TRUE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,TC110@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,VERIFIED,25-5712:TC #110,TRUE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc13@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_VERIFIED,25-5705:TC #13,TRUE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,EMPTY,FALSE,TC134@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,VERIFIED,NOT_VERIFIED,NOT_UPLOADED,25-5717:TC #134,TRUE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,tc14@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,VERIFIED,25-5706:TC #14,TRUE
