fnsPersonal,fnsTrading,hasAdditionalDetails,riskWarning,experienceLevel,hasDeposit,accountType,poiStatus,porStatus,hasPendingDeposit,username,showWizard,showWelcomeBack,showDeposit,showRiskWarning,showPoiPor,showStartWizard,showAdditionalDetails,showFnsPersonal,showFnsTrading,customerCompliant,poiOcrStatus,poiStatusValue,porStatusValue
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,NOT_VERIFIED,FALSE,tc1@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,tc10@a.com,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,VERIFIED,TRUE,TC100@a.com,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,TC105@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,TC106@a.com,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,TC109@a.com,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,TC110@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,VERIFIED
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc13@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,EMPTY,FALSE,TC134@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,NOT_VERIFIED,NOT_UPLOADED
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,VERIFIED,TRUE,tc14@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,VERIFIED
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,TRUE,REAL,NOT_VERIFIED,EMPTY,FALSE,TC154@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_UPLOADED
TRUE,TRUE,TRUE,FALSE,EXPERT,FALSE,REAL,VERIFIED,EMPTY,FALSE,tc158@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,VERIFIED,NOT_UPLOADED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc175@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED
FALSE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc178@a.com,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,NOT_UPLOADED
FALSE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc179@a.com,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED
FALSE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc180@a.com,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED
FALSE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc181@a.com,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED
TRUE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc184@a.com,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED
TRUE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc185@a.com,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,TRUE,REAL,EMPTY,VERIFIED,FALSE,tc193@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED
TRUE,TRUE,TRUE,FALSE,EXPERT,TRUE,REAL,EMPTY,NOT_VERIFIED,FALSE,tc208@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc231@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_UPLOADED
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,NOT_VERIFIED,TRUE,tc3@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,FALSE,tc37@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,VERIFIED,TRUE,tc4@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,VERIFIED,FALSE,tc42@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,VERIFIED,VERIFIED,FALSE,tc58@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EMPTY,VERIFIED,VERIFIED
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc61@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,FALSE,TC63@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,EXPERT,FALSE,REAL,NOT_VERIFIED,VERIFIED,TRUE,TC78@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc9@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED
TRUE,TRUE,TRUE,FALSE,EXPERT,TRUE,REAL,EMPTY,VERIFIED,FALSE,TC96@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,VERIFIED
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,NOT_VERIFIED,TRUE,TC99@a.com,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_VERIFIED
